birth_year,age
1900,120
1901,120
1902,110
1903,110
1904,110
1905,110
1906,110
1907,110
1908,110
1909,110
1910,110
1911,110
1912,100
1913,100
1914,100
1915,100
1916,100
1917,100
1918,100
1919,100
1920,100
1921,100
1922,90
1923,90
1924,90
1925,90
1926,90
1927,90
1928,90
1929,90
1930,90
1931,90
1932,80
1933,80
1934,80
1935,80
1936,80
1937,80
1938,80
1939,80
1940,80
1941,80
1942,70
1943,70
1944,70
1945,70
1946,70
1947,70
1948,70
1949,70
1950,70
1951,70
1952,60
1953,60
1954,60
1955,60
1956,60
1957,60
1958,60
1959,60
1960,60
1961,60
1962,50
1963,50
1964,50
1965,50
1966,50
1967,50
1968,50
1969,50
1970,50
1971,50
1972,40
1973,40
1974,40
1975,40
1976,40
1977,40
1978,40
1979,40
1980,40
1981,40
1982,30
1983,30
1984,30
1985,30
1986,30
1987,30
1988,30
1989,30
1990,30
1991,30
1992,20
1993,20
1994,20
1995,20
1996,20
1997,20
1998,20
1999,20
2000,20
2001,20
2002,10
2003,10
2004,10
2005,10
2006,10
2007,10
2008,10
2009,10
2010,10
2011,10
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
0,null
